Date,HIGH,LOW,OPEN,CLOSE,VOLUME,ticker
2015-01-02,20.875,20.875,20.875,20.738,30,PNCGMc1
2015-01-05,20.55,20.375,20.55,20.442,180,PNCGMc1
2015-01-06,20.575,19.825,20.575,19.82,80,PNCGMc1
2015-01-07,19.9,19.8,19.8,19.913,40,PNCGMc1
2015-01-08,20.225,19.7,19.975,19.836,650,PNCGMc1
2015-01-09,20.175,19.75,20.15,19.75,160,PNCGMc1
2015-01-12,20.175,19.975,20.025,20.095,150,PNCGMc1
2015-01-13,20.675,20.4,20.5,20.686,310,PNCGMc1
2015-01-14,20.95,20.675,20.9,20.718,200,PNCGMc1
2015-01-15,20.675,20.375,20.5,20.397,200,PNCGMc1
2015-01-16,20.125,19.95,20.025,20.0,120,PNCGMc1
2015-01-19,19.75,19.45,19.65,19.489,220,PNCGMc1
2015-01-20,19.6,19.5,19.5,19.575,90,PNCGMc1
2015-01-21,19.85,19.75,19.825,19.782,270,PNCGMc1
2015-01-22,20.05,19.625,19.625,19.855,480,PNCGMc1
2015-01-23,20.0,19.8,20.0,19.82,110,PNCGMc1
2015-01-26,20.0,19.9,19.925,19.996,101,PNCGMc1
2015-01-27,20.275,20.2,20.2,20.276,220,PNCGMc1
2015-01-28,20.625,20.45,20.625,20.611,160,PNCGMc1
2015-01-29,21.05,20.925,20.95,20.986,160,PNCGMc1
2015-01-30,,,,20.564,,PNCGMc1
2015-02-02,20.7,20.7,20.7,20.7,60,PNCGMc1
2015-02-03,20.55,20.375,20.375,20.484,80,PNCGMc1
2015-02-04,20.725,20.575,20.675,20.732,175,PNCGMc1
2015-02-05,21.75,20.875,20.875,21.716,140,PNCGMc1
2015-02-06,21.7,21.3,21.7,21.464,660,PNCGMc1
2015-02-09,21.475,21.2,21.225,21.758,120,PNCGMc1
2015-02-10,23.05,22.25,23.05,22.275,40,PNCGMc1
2015-02-11,23.475,23.0,23.375,23.27,415,PNCGMc1
2015-02-12,24.475,23.2,23.2,24.395,600,PNCGMc1
2015-02-13,24.025,23.675,24.025,23.71,145,PNCGMc1
2015-02-16,23.375,22.975,23.375,23.061,40,PNCGMc1
2015-02-17,22.8,22.725,22.8,22.774,70,PNCGMc1
2015-02-18,23.225,22.85,23.225,22.867,260,PNCGMc1
2015-02-19,22.55,22.1,22.55,22.11,45,PNCGMc1
2015-02-20,22.575,22.375,22.375,22.509,70,PNCGMc1
2015-02-23,22.25,22.15,22.15,22.165,270,PNCGMc1
2015-02-24,22.875,22.575,22.575,22.617,320,PNCGMc1
2015-02-25,23.425,23.3,23.425,23.481,40,PNCGMc1
2015-02-26,24.4,23.9,24.225,23.888,145,PNCGMc1
2015-02-27,,,,23.245,,PNCGMc1
2015-03-02,22.85,22.55,22.85,22.551,55,PNCGMc1
2015-03-03,22.375,22.2,22.25,22.13,120,PNCGMc1
2015-03-04,22.35,22.325,22.35,22.335,15,PNCGMc1
2015-03-05,22.1,21.3,22.1,21.589,200,PNCGMc1
2015-03-06,21.5,20.95,20.95,21.335,250,PNCGMc1
2015-03-09,21.9,21.725,21.725,21.864,105,PNCGMc1
2015-03-10,21.825,21.5,21.55,21.89,90,PNCGMc1
2015-03-11,22.15,21.85,21.875,22.168,300,PNCGMc1
2015-03-12,22.325,21.95,22.3,21.885,190,PNCGMc1
2015-03-13,21.825,21.75,21.75,21.712,500,PNCGMc1
2015-03-16,21.85,21.425,21.8,21.425,615,PNCGMc1
2015-03-17,21.425,21.25,21.35,21.319,285,PNCGMc1
2015-03-18,21.625,21.425,21.625,21.443,245,PNCGMc1
2015-03-19,21.4,21.375,21.375,21.394,45,PNCGMc1
2015-03-20,21.175,21.175,21.175,21.18,45,PNCGMc1
2015-03-23,21.05,20.85,20.85,21.053,70,PNCGMc1
2015-03-24,21.375,21.25,21.25,21.366,50,PNCGMc1
2015-03-25,21.375,21.3,21.325,21.293,490,PNCGMc1
2015-03-26,22.0,21.525,21.525,21.993,295,PNCGMc1
2015-03-27,22.4,22.025,22.025,21.935,360,PNCGMc1
2015-03-30,22.075,21.9,22.075,21.892,390,PNCGMc1
2015-03-31,,,,21.692,,PNCGMc1
2015-04-01,22.175,21.85,21.85,22.175,170,PNCGMc1
2015-04-02,22.5,22.175,22.5,21.978,265,PNCGMc1
