hub1_CLOSE-0,hub2_CLOSE-0,hub1_hub2_diff-0,hub1_hub2_diff-1,hub1_hub2_diff-2,hub1_hub2_diff-3,hub1_hub2_diff-4,hub1_hub2_diff-5,the,nbp
27.219,28.3932562186508,-1.1742562186508003,-1.0988678472719968,-1.1448982154434013,-1.1979632511004006,-1.1052084143719973,-1.4771256013922027,26.756,27.9974941140342
26.955,28.0484539529805,-1.0934539529805,-1.1742562186508003,-1.0988678472719968,-1.1448982154434013,-1.1979632511004006,-1.1052084143719973,26.33,27.4358822124407
26.316,27.3992049680964,-1.0832049680963998,-1.0934539529805,-1.1742562186508003,-1.0988678472719968,-1.1448982154434013,-1.1979632511004006,26.001,27.1122939911966
25.863,26.9094427952366,-1.0464427952366009,-1.0832049680963998,-1.0934539529805,-1.1742562186508003,-1.0988678472719968,-1.1448982154434013,26.145,27.0848397993653
26.698,28.0210741461084,-1.3230741461084001,-1.0464427952366009,-1.0832049680963998,-1.0934539529805,-1.1742562186508003,-1.0988678472719968,26.966,28.1084273381786
26.756,27.9974941140342,-1.2414941140342002,-1.3230741461084001,-1.0464427952366009,-1.0832049680963998,-1.0934539529805,-1.1742562186508003,26.277,27.1920861910124
26.33,27.4358822124407,-1.1058822124407008,-1.2414941140342002,-1.3230741461084001,-1.0464427952366009,-1.0832049680963998,-1.0934539529805,25.794,26.7580714505067
26.001,27.1122939911966,-1.1112939911966002,-1.1058822124407008,-1.2414941140342002,-1.3230741461084001,-1.0464427952366009,-1.0832049680963998,25.452,26.2522339372846
26.145,27.0848397993653,-0.939839799365302,-1.1112939911966002,-1.1058822124407008,-1.2414941140342002,-1.3230741461084001,-1.0464427952366009,25.047,25.8702644419422
26.966,28.1084273381786,-1.1424273381785994,-0.939839799365302,-1.1112939911966002,-1.1058822124407008,-1.2414941140342002,-1.3230741461084001,24.573,25.0372040809363
26.277,27.1920861910124,-0.9150861910123993,-1.1424273381785994,-0.939839799365302,-1.1112939911966002,-1.1058822124407008,-1.2414941140342002,24.949,25.7736554406797
25.794,26.7580714505067,-0.964071450506701,-0.9150861910123993,-1.1424273381785994,-0.939839799365302,-1.1112939911966002,-1.1058822124407008,24.4,24.7879810284232
25.452,26.2522339372846,-0.8002339372845988,-0.964071450506701,-0.9150861910123993,-1.1424273381785994,-0.939839799365302,-1.1112939911966002,24.544,26.2488463507012
25.047,25.8702644419422,-0.8232644419422002,-0.8002339372845988,-0.964071450506701,-0.9150861910123993,-1.1424273381785994,-0.939839799365302,23.839,25.5618889685058
24.573,25.0372040809363,-0.46420408093629817,-0.8232644419422002,-0.8002339372845988,-0.964071450506701,-0.9150861910123993,-1.1424273381785994,24.432,26.2483161019552
24.949,25.7736554406797,-0.8246554406796989,-0.46420408093629817,-0.8232644419422002,-0.8002339372845988,-0.964071450506701,-0.9150861910123993,23.971,25.6743064796806
24.4,24.7879810284232,-0.3879810284232015,-0.8246554406796989,-0.46420408093629817,-0.8232644419422002,-0.8002339372845988,-0.964071450506701,24.167,25.828316784386
24.544,26.2488463507012,-1.7048463507011995,-0.3879810284232015,-0.8246554406796989,-0.46420408093629817,-0.8232644419422002,-0.8002339372845988,24.363,26.3840556863548
23.839,25.5618889685058,-1.7228889685058029,-1.7048463507011995,-0.3879810284232015,-0.8246554406796989,-0.46420408093629817,-0.8232644419422002,24.559,26.2824874603337
24.432,26.2483161019552,-1.816316101955202,-1.7228889685058029,-1.7048463507011995,-0.3879810284232015,-0.8246554406796989,-0.46420408093629817,24.423,26.1993824001092
23.971,25.6743064796806,-1.7033064796805988,-1.816316101955202,-1.7228889685058029,-1.7048463507011995,-0.3879810284232015,-0.8246554406796989,26.029,27.9158863070256
24.167,25.828316784386,-1.661316784385999,-1.7033064796805988,-1.816316101955202,-1.7228889685058029,-1.7048463507011995,-0.3879810284232015,26.595,28.5029051079947
24.363,26.3840556863548,-2.0210556863547993,-1.661316784385999,-1.7033064796805988,-1.816316101955202,-1.7228889685058029,-1.7048463507011995,26.427,28.2784863684444
24.559,26.2824874603337,-1.7234874603337005,-2.0210556863547993,-1.661316784385999,-1.7033064796805988,-1.816316101955202,-1.7228889685058029,26.764,28.7001398983178
24.423,26.1993824001092,-1.7763824001092026,-1.7234874603337005,-2.0210556863547993,-1.661316784385999,-1.7033064796805988,-1.816316101955202,26.058,27.6977049851571
26.029,27.9158863070256,-1.8868863070255983,-1.7763824001092026,-1.7234874603337005,-2.0210556863547993,-1.661316784385999,-1.7033064796805988,24.302,25.618354318081
26.595,28.5029051079947,-1.9079051079947007,-1.8868863070255983,-1.7763824001092026,-1.7234874603337005,-2.0210556863547993,-1.661316784385999,24.546,25.6424523151466
26.427,28.2784863684444,-1.8514863684444016,-1.9079051079947007,-1.8868863070255983,-1.7763824001092026,-1.7234874603337005,-2.0210556863547993,24.65,25.78681953117
26.764,28.7001398983178,-1.9361398983178013,-1.8514863684444016,-1.9079051079947007,-1.8868863070255983,-1.7763824001092026,-1.7234874603337005,24.954,25.8229552666598
26.058,27.6977049851571,-1.639704985157099,-1.9361398983178013,-1.8514863684444016,-1.9079051079947007,-1.8868863070255983,-1.7763824001092026,25.013,26.0663114614256
24.302,25.618354318081,-1.3163543180810002,-1.639704985157099,-1.9361398983178013,-1.8514863684444016,-1.9079051079947007,-1.8868863070255983,24.875,25.4770897737742
24.546,25.6424523151466,-1.0964523151465997,-1.3163543180810002,-1.639704985157099,-1.9361398983178013,-1.8514863684444016,-1.9079051079947007,25.543,26.2334466168492
24.65,25.78681953117,-1.1368195311700013,-1.0964523151465997,-1.3163543180810002,-1.639704985157099,-1.9361398983178013,-1.8514863684444016,24.619,24.9277496843758
24.954,25.8229552666598,-0.8689552666597997,-1.1368195311700013,-1.0964523151465997,-1.3163543180810002,-1.639704985157099,-1.9361398983178013,25.0,25.3898317808032
25.013,26.0663114614256,-1.0533114614255972,-0.8689552666597997,-1.1368195311700013,-1.0964523151465997,-1.3163543180810002,-1.639704985157099,24.798,25.9609683693316
24.875,25.4770897737742,-0.6020897737741997,-1.0533114614255972,-0.8689552666597997,-1.1368195311700013,-1.0964523151465997,-1.3163543180810002,25.236,26.2906158938138
25.543,26.2334466168492,-0.6904466168492007,-0.6020897737741997,-1.0533114614255972,-0.8689552666597997,-1.1368195311700013,-1.0964523151465997,24.555,25.6108250588597
24.619,24.9277496843758,-0.3087496843758011,-0.6904466168492007,-0.6020897737741997,-1.0533114614255972,-0.8689552666597997,-1.1368195311700013,23.973,24.8171153649299
25.0,25.3898317808032,-0.389831780803199,-0.3087496843758011,-0.6904466168492007,-0.6020897737741997,-1.0533114614255972,-0.8689552666597997,23.385,24.1420452451633
24.798,25.9609683693316,-1.162968369331601,-0.389831780803199,-0.3087496843758011,-0.6904466168492007,-0.6020897737741997,-1.0533114614255972,23.379,24.136810318354
25.236,26.2906158938138,-1.0546158938138,-1.162968369331601,-0.389831780803199,-0.3087496843758011,-0.6904466168492007,-0.6020897737741997,23.373,24.3217893336063
24.555,25.6108250588597,-1.0558250588596998,-1.0546158938138,-1.162968369331601,-0.389831780803199,-0.3087496843758011,-0.6904466168492007,23.741,24.5597553485515
23.973,24.8171153649299,-0.8441153649299018,-1.0558250588596998,-1.0546158938138,-1.162968369331601,-0.389831780803199,-0.3087496843758011,24.1,25.0299007063159
23.385,24.1420452451633,-0.7570452451632974,-0.8441153649299018,-1.0558250588596998,-1.0546158938138,-1.162968369331601,-0.389831780803199,24.415,25.2799017299621
23.379,24.136810318354,-0.7578103183540001,-0.7570452451632974,-0.8441153649299018,-1.0558250588596998,-1.0546158938138,-1.162968369331601,24.747,25.8101955164295
23.373,24.3217893336063,-0.9487893336062996,-0.7578103183540001,-0.7570452451632974,-0.8441153649299018,-1.0558250588596998,-1.0546158938138,24.882,25.822012488484
23.741,24.5597553485515,-0.8187553485515018,-0.9487893336062996,-0.7578103183540001,-0.7570452451632974,-0.8441153649299018,-1.0558250588596998,23.908,24.8753284198314
24.1,25.0299007063159,-0.9299007063158982,-0.8187553485515018,-0.9487893336062996,-0.7578103183540001,-0.7570452451632974,-0.8441153649299018,24.296,25.4280861227693
24.415,25.2799017299621,-0.8649017299620994,-0.9299007063158982,-0.8187553485515018,-0.9487893336062996,-0.7578103183540001,-0.7570452451632974,24.611,25.8896018016174
