hub1_CLOSE-0,hub2_CLOSE-0,hub1_hub2_diff-0,hub1_hub2_diff-1,hub1_hub2_diff-2,hub1_hub2_diff-3,hub1_hub2_diff-4,hub1_hub2_diff-5,ttf,the
27.218,27.219,-0.0010000000000012221,-0.2680000000000007,-0.11299999999999955,-0.11899999999999977,-0.08399999999999963,0.043000000000002814,26.625,26.756
26.835,26.955,-0.11999999999999744,-0.0010000000000012221,-0.2680000000000007,-0.11299999999999955,-0.11899999999999977,-0.08399999999999963,26.328,26.33
26.22,26.316,-0.09600000000000009,-0.11999999999999744,-0.0010000000000012221,-0.2680000000000007,-0.11299999999999955,-0.11899999999999977,25.942,26.001
25.759,25.863,-0.1039999999999992,-0.09600000000000009,-0.11999999999999744,-0.0010000000000012221,-0.2680000000000007,-0.11299999999999955,26.025,26.145
26.628,26.698,-0.07000000000000028,-0.1039999999999992,-0.09600000000000009,-0.11999999999999744,-0.0010000000000012221,-0.2680000000000007,26.858,26.966
26.625,26.756,-0.13100000000000023,-0.07000000000000028,-0.1039999999999992,-0.09600000000000009,-0.11999999999999744,-0.0010000000000012221,26.114,26.277
26.328,26.33,-0.0019999999999988916,-0.13100000000000023,-0.07000000000000028,-0.1039999999999992,-0.09600000000000009,-0.11999999999999744,25.667,25.794
25.942,26.001,-0.05900000000000105,-0.0019999999999988916,-0.13100000000000023,-0.07000000000000028,-0.1039999999999992,-0.09600000000000009,25.261,25.452
26.025,26.145,-0.120000000000001,-0.05900000000000105,-0.0019999999999988916,-0.13100000000000023,-0.07000000000000028,-0.1039999999999992,24.866,25.047
26.858,26.966,-0.10800000000000054,-0.120000000000001,-0.05900000000000105,-0.0019999999999988916,-0.13100000000000023,-0.07000000000000028,24.281,24.573
26.114,26.277,-0.16300000000000026,-0.10800000000000054,-0.120000000000001,-0.05900000000000105,-0.0019999999999988916,-0.13100000000000023,24.578,24.949
25.667,25.794,-0.1269999999999989,-0.16300000000000026,-0.10800000000000054,-0.120000000000001,-0.05900000000000105,-0.0019999999999988916,23.873,24.4
25.261,25.452,-0.1910000000000025,-0.1269999999999989,-0.16300000000000026,-0.10800000000000054,-0.120000000000001,-0.05900000000000105,24.333,24.544
24.866,25.047,-0.18100000000000094,-0.1910000000000025,-0.1269999999999989,-0.16300000000000026,-0.10800000000000054,-0.120000000000001,23.649,23.839
24.281,24.573,-0.2920000000000016,-0.18100000000000094,-0.1910000000000025,-0.1269999999999989,-0.16300000000000026,-0.10800000000000054,24.283,24.432
