Date,HIGH,LOW,OPEN,CLOSE,VOLUME,ticker
2018-09-28,,,,27.591,,PPEGMc1
2018-10-01,,,,27.586,,PPEGMc1
2018-10-02,,,,27.624,,PPEGMc1
2018-10-03,27.15,27.05,27.05,27.431,,PPEGMc1
2018-10-04,,,,27.635,,PPEGMc1
2018-10-05,,,,28.344,,PPEGMc1
2018-10-08,27.55,27.55,27.55,27.376,,PPEGMc1
2018-10-09,26.95,26.95,26.95,27.041,,PPEGMc1
2018-10-10,,,,26.454,,PPEGMc1
2018-10-11,25.825,25.825,25.825,25.85,,PPEGMc1
2018-10-12,,,,26.786,,PPEGMc1
2018-10-15,,,,26.918,,PPEGMc1
2018-10-16,26.4,26.4,26.4,26.454,,PPEGMc1
2018-10-17,,,,26.115,,PPEGMc1
2018-10-18,,,,26.25,,PPEGMc1
2018-10-19,26.85,26.85,26.85,26.999,,PPEGMc1
2018-10-22,26.2,26.2,26.2,26.205,,PPEGMc1
2018-10-23,25.6,25.6,25.6,25.731,,PPEGMc1
2018-10-24,,,,25.397,,PPEGMc1
2018-10-25,25.05,24.85,24.925,24.963,,PPEGMc1
2018-10-26,,,,24.365,,PPEGMc1
2018-10-29,24.75,24.7,24.75,24.662,,PPEGMc1
2018-10-30,24.2,24.2,24.2,23.96,,PPEGMc1
2018-10-31,24.4,24.4,24.4,24.509,,PPEGMc1
2018-11-01,,,,23.802,,PPEGMc1
2018-11-02,,,,24.405,,PPEGMc1
2018-11-05,,,,23.935,,PPEGMc1
2018-11-06,,,,24.046,,PPEGMc1
2018-11-07,,,,24.553,,PPEGMc1
2018-11-08,,,,24.547,,PPEGMc1
2018-11-09,,,,24.457,,PPEGMc1
2018-11-12,,,,26.016,,PPEGMc1
2018-11-13,26.55,26.55,26.55,26.573,,PPEGMc1
2018-11-14,,,,26.418,,PPEGMc1
2018-11-15,26.15,26.15,26.15,26.852,,PPEGMc1
2018-11-16,26.245,25.875,26.245,25.922,,PPEGMc1
2018-11-19,,,,24.216,,PPEGMc1
2018-11-20,,,,24.418,,PPEGMc1
2018-11-21,,,,24.523,,PPEGMc1
2018-11-22,24.425,23.9,24.0,24.744,,PPEGMc1
2018-11-23,25.125,25.125,25.125,24.791,,PPEGMc1
2018-11-26,24.525,24.105,24.105,24.514,,PPEGMc1
2018-11-27,,,,25.118,,PPEGMc1
2018-11-28,24.25,24.25,24.25,24.25,,PPEGMc1
2018-11-29,24.55,24.45,24.45,24.76,,PPEGMc1
2018-11-30,,,,24.804,,PPEGMc1
2018-12-03,24.95,24.95,24.95,25.144,,PPEGMc1
2018-12-04,24.45,24.45,24.45,24.453,,PPEGMc1
2018-12-05,,,,23.881,,PPEGMc1
2018-12-06,,,,23.244,,PPEGMc1
2018-12-07,,,,23.239,,PPEGMc1
2018-12-10,23.3,23.3,23.3,23.303,,PPEGMc1
2018-12-11,,,,23.656,,PPEGMc1
2018-12-12,,,,23.985,,PPEGMc1
2018-12-13,,,,24.297,,PPEGMc1
2018-12-14,,,,24.669,,PPEGMc1
2018-12-17,24.65,24.65,24.65,24.693,,PPEGMc1
2018-12-18,23.825,23.825,23.825,23.741,,PPEGMc1
2018-12-19,24.425,24.2,24.2,24.208,,PPEGMc1
2018-12-20,24.65,24.3,24.3,24.651,,PPEGMc1
2018-12-21,24.675,24.525,24.675,24.883,,PPEGMc1
2018-12-24,,,,24.59,,PPEGMc1
2018-12-27,,,,23.319,,PPEGMc1
2018-12-28,23.2,23.2,23.2,22.73,,PPEGMc1
2018-12-31,,,,22.387,,PPEGMc1
2019-01-02,22.2,22.05,22.2,22.51,,PPEGMc1
2019-01-03,22.2,22.2,22.2,22.335,,PPEGMc1
2019-01-04,22.95,22.95,22.95,23.116,,PPEGMc1
2019-01-07,21.7,21.7,21.7,21.733,,PPEGMc1
2019-01-08,22.4,22.3,22.325,22.314,,PPEGMc1
2019-01-09,22.65,22.0,22.65,21.992,,PPEGMc1
2019-01-10,21.7,21.7,21.7,21.895,,PPEGMc1
2019-01-11,,,,22.45,,PPEGMc1
2019-01-14,21.85,21.85,21.85,21.872,,PPEGMc1
2019-01-15,,,,22.226,,PPEGMc1
2019-01-16,,,,22.231,,PPEGMc1
2019-01-17,,,,23.238,,PPEGMc1
2019-01-18,23.3,23.3,23.3,22.875,,PPEGMc1
2019-01-21,22.05,21.85,22.0,22.041,,PPEGMc1
2019-01-22,,,,22.092,,PPEGMc1
2019-01-23,22.525,22.4,22.4,22.493,,PPEGMc1
2019-01-24,21.85,21.45,21.85,21.483,,PPEGMc1
2019-01-25,20.95,20.95,20.95,21.058,,PPEGMc1
2019-01-28,20.75,20.75,20.75,20.759,,PPEGMc1
2019-01-29,20.4,20.275,20.3,20.747,,PPEGMc1
2019-01-31,,,,20.027,,PPEGMc1
2019-02-01,,,,19.518,,PPEGMc1
2019-02-04,,,,19.553,,PPEGMc1
2019-02-05,19.3,19.3,19.3,19.352,120,PPEGMc1
2019-02-06,19.4,19.175,19.35,19.091,1550,PPEGMc1
2019-02-07,19.2,19.0,19.2,19.091,3680,PPEGMc1
2019-02-08,,,,18.432,,PPEGMc1
2019-02-11,,,,18.186,,PPEGMc1
2019-02-12,18.05,18.05,18.05,17.912,280,PPEGMc1
2019-02-13,,,,18.154,,PPEGMc1
2019-02-14,17.85,17.85,17.85,17.853,720,PPEGMc1
2019-02-15,17.9,17.75,17.75,18.098,230,PPEGMc1
2019-02-18,17.8,17.8,17.8,17.448,60,PPEGMc1
2019-02-19,17.4,17.4,17.4,17.676,60,PPEGMc1
2019-02-20,,,,18.22,,PPEGMc1
2019-02-21,17.75,17.75,17.75,17.581,840,PPEGMc1
2019-02-22,,,,17.23,,PPEGMc1
2019-02-25,17.075,17.075,17.075,17.075,940,PPEGMc1
2019-02-26,17.15,17.15,17.15,17.198,300,PPEGMc1
2019-02-27,17.55,17.475,17.55,17.8,180,PPEGMc1
2019-02-28,,,,17.873,,PPEGMc1
2019-03-01,,,,17.406,,PPEGMc1
2019-03-04,,,,17.435,,PPEGMc1
2019-03-05,17.35,17.3,17.35,17.214,1560,PPEGMc1
2019-03-06,,,,16.95,720,PPEGMc1
2019-03-07,,,,16.88,,PPEGMc1
2019-03-08,16.65,16.65,16.65,16.831,1440,PPEGMc1
2019-03-11,,,,16.512,,PPEGMc1
2019-03-12,,,,16.161,,PPEGMc1
2019-03-13,,,,15.679,,PPEGMc1
2019-03-14,15.625,15.625,15.625,15.571,720,PPEGMc1
2019-03-15,,,,15.184,1440,PPEGMc1
2019-03-18,,,,14.91,720,PPEGMc1
2019-03-19,,,,14.94,,PPEGMc1
2019-03-20,,,,15.109,,PPEGMc1
2019-03-21,,,,14.539,1440,PPEGMc1
2019-03-22,,,,14.425,1200,PPEGMc1
2019-03-25,,,,14.128,,PPEGMc1
2019-03-26,,,,14.317,,PPEGMc1
2019-03-27,14.9,14.475,14.6,14.86,10665,PPEGMc1
2019-03-28,,,,14.33,,PPEGMc1
2019-03-29,,,,14.225,,PPEGMc1
2019-04-01,,,,13.781,,PPEGMc1
2019-04-02,13.5,13.5,13.5,13.48,600,PPEGMc1
2019-04-03,13.95,13.525,13.525,14.25,2190,PPEGMc1
2019-04-04,14.7,14.5,14.5,14.68,3360,PPEGMc1
2019-04-05,16.2,15.65,15.65,16.451,3212,PPEGMc1
2019-04-08,17.0,16.1,17.0,15.912,2000,PPEGMc1
2019-04-09,16.75,16.2,16.65,16.589,4905,PPEGMc1
2019-04-10,16.75,16.75,16.75,15.648,720,PPEGMc1
2019-04-11,15.95,15.95,15.95,15.862,235,PPEGMc1
2019-04-12,16.0,15.8,15.8,15.788,5490,PPEGMc1
2019-04-15,15.475,15.475,15.475,14.938,240,PPEGMc1
2019-04-16,,,,14.794,,PPEGMc1
2019-04-17,,,,15.165,,PPEGMc1
2019-04-18,,,,14.4,720,PPEGMc1
2019-04-23,,,,14.431,,PPEGMc1
2019-04-24,,,,14.212,3120,PPEGMc1
2019-04-25,14.5,14.35,14.35,14.454,1080,PPEGMc1
2019-04-26,,,,14.368,,PPEGMc1
2019-04-29,14.45,14.4,14.4,14.44,2160,PPEGMc1
2019-04-30,,,,14.267,,PPEGMc1
2019-05-02,,,,14.206,720,PPEGMc1
2019-05-03,,,,14.434,,PPEGMc1
2019-05-07,14.225,14.225,14.225,14.067,720,PPEGMc1
2019-05-08,,,,14.158,,PPEGMc1
2019-05-09,,,,14.338,,PPEGMc1
2019-05-10,,,,13.876,,PPEGMc1
2019-05-13,13.725,13.725,13.725,13.633,2,PPEGMc1
2019-05-14,13.55,13.55,13.55,13.672,1,PPEGMc1
2019-05-15,13.65,13.65,13.65,13.716,36,PPEGMc1
2019-05-16,13.25,13.25,13.25,13.241,120,PPEGMc1
2019-05-17,,,,12.743,480,PPEGMc1
2019-05-20,,,,12.751,,PPEGMc1
2019-05-21,12.76,12.75,12.75,12.61,1400,PPEGMc1
2019-05-22,,,,12.573,,PPEGMc1
2019-05-23,,,,12.503,,PPEGMc1
2019-05-24,,,,12.228,,PPEGMc1
2019-05-28,12.25,12.2,12.25,12.426,4560,PPEGMc1
2019-05-29,12.375,12.375,12.375,12.172,936,PPEGMc1
2019-05-30,11.63,11.63,11.63,11.45,120,PPEGMc1
2019-05-31,11.2,11.2,11.2,11.227,480,PPEGMc1
2019-06-03,,,,10.968,,PPEGMc1
2019-06-04,11.55,11.55,11.55,11.752,720,PPEGMc1
2019-06-05,11.5,11.425,11.425,11.492,1200,PPEGMc1
2019-06-06,,,,10.891,,PPEGMc1
2019-06-07,,,,11.278,,PPEGMc1
2019-06-10,,,,11.504,,PPEGMc1
2019-06-11,11.4,11.4,11.4,10.903,24,PPEGMc1
2019-06-12,,,,10.827,,PPEGMc1
2019-06-13,,,,11.1,,PPEGMc1
2019-06-14,,,,11.085,,PPEGMc1
2019-06-17,,,,11.374,,PPEGMc1
2019-06-18,,,,10.889,,PPEGMc1
2019-06-19,,,,10.35,,PPEGMc1
2019-06-20,,,,9.972,,PPEGMc1
2019-06-21,,,,10.181,,PPEGMc1
2019-06-24,10.275,10.05,10.275,10.038,795,PPEGMc1
2019-06-25,9.95,9.9,9.95,9.712,1440,PPEGMc1
2019-06-26,9.7,9.625,9.625,9.701,822,PPEGMc1
2019-06-27,9.45,9.45,9.45,9.41,960,PPEGMc1
2019-06-28,10.1,10.1,10.1,10.182,720,PPEGMc1
2019-07-01,10.55,10.25,10.55,10.389,552,PPEGMc1
2019-07-02,10.65,10.33,10.65,,552,PPEGMc1
2019-07-03,10.4,10.4,10.4,,276,PPEGMc1
2019-07-04,10.575,10.35,10.5,10.452,986,PPEGMc1
2019-07-05,10.455,10.45,10.45,11.046,516,PPEGMc1
2019-07-08,11.135,11.135,11.135,11.852,276,PPEGMc1
2019-07-09,12.0,12.0,12.0,11.721,276,PPEGMc1
2019-07-10,12.075,11.85,11.85,12.101,296,PPEGMc1
2019-07-11,12.65,12.65,12.65,13.024,276,PPEGMc1
2019-07-12,12.8,12.75,12.8,13.342,276,PPEGMc1
2019-07-15,13.65,13.65,13.65,12.919,276,PPEGMc1
2019-07-16,11.7,11.25,11.7,11.422,1920,PPEGMc1
2019-07-17,,,,11.194,,PPEGMc1
2019-07-18,11.0,10.75,11.0,10.767,1920,PPEGMc1
2019-07-19,,,,10.827,,PPEGMc1
2019-07-22,,,,10.181,,PPEGMc1
2019-07-23,,,,10.789,,PPEGMc1
2019-07-24,10.4,10.1,10.4,10.103,3280,PPEGMc1
2019-07-25,,,,10.145,,PPEGMc1
2019-07-26,10.075,9.9,10.075,9.976,1680,PPEGMc1
2019-07-29,10.0,9.875,10.0,9.784,1720,PPEGMc1
2019-07-30,9.65,9.65,9.65,9.79,2172,PPEGMc1
2019-07-31,11.25,11.05,11.25,10.953,262,PPEGMc1
2019-08-01,,,,12.29,,PPEGMc1
2019-08-02,,,,11.888,,PPEGMc1
2019-08-05,,,,11.489,,PPEGMc1
2019-08-06,,,,10.868,480,PPEGMc1
2019-08-07,,,,11.339,,PPEGMc1
2019-08-08,,,,12.011,,PPEGMc1
2019-08-09,,,,11.88,,PPEGMc1
2019-08-12,,,,11.338,,PPEGMc1
2019-08-13,11.825,11.825,11.825,11.795,240,PPEGMc1
2019-08-14,11.285,11.285,11.285,11.079,240,PPEGMc1
2019-08-15,,,,11.109,,PPEGMc1
2019-08-16,,,,10.893,,PPEGMc1
2019-08-19,,,,10.714,,PPEGMc1
2019-08-20,,,,11.133,,PPEGMc1
2019-08-21,,,,11.355,,PPEGMc1
2019-08-22,,,,10.928,,PPEGMc1
2019-08-23,10.75,10.75,10.75,10.55,2880,PPEGMc1
2019-08-27,10.2,10.2,10.2,9.996,120,PPEGMc1
2019-08-28,10.275,10.2,10.275,10.155,369,PPEGMc1
2019-08-29,10.55,10.55,10.55,10.56,960,PPEGMc1
2019-08-30,13.05,13.05,13.05,12.751,432,PPEGMc1
2019-09-02,12.15,12.15,12.15,11.933,480,PPEGMc1
2019-09-03,,,,12.14,,PPEGMc1
2019-09-04,,,,,720,PPEGMc1
2019-09-06,,,,12.461,,PPEGMc1
