Date,HIGH,LOW,OPEN,CLOSE,VOLUME,ticker
2010-01-04,37.9,35.5,37.0,35.57,5795,NGLNMc1
2010-01-05,37.6,36.25,36.25,37.38,5005,NGLNMc1
2010-01-06,37.25,36.15,36.81,37.0,7630,NGLNMc1
2010-01-07,39.0,36.6,37.0,37.27,10130,NGLNMc1
2010-01-08,36.25,35.1,36.0,35.22,8245,NGLNMc1
2010-01-11,37.0,35.8,36.5,36.06,7020,NGLNMc1
2010-01-12,35.6,34.0,35.15,34.56,5015,NGLNMc1
2010-01-13,34.45,33.5,33.75,33.82,9670,NGLNMc1
2010-01-14,35.05,33.65,34.45,34.02,8290,NGLNMc1
2010-01-15,33.6,32.5,33.0,33.32,5885,NGLNMc1
2010-01-18,33.85,33.15,33.75,33.56,3370,NGLNMc1
2010-01-19,34.85,34.15,34.2,34.66,7125,NGLNMc1
2010-01-20,35.2,34.6,35.1,34.91,4190,NGLNMc1
2010-01-21,35.0,34.2,35.0,34.36,10110,NGLNMc1
2010-01-22,35.0,34.1,34.75,34.71,2385,NGLNMc1
2010-01-25,37.25,35.5,35.5,36.82,8275,NGLNMc1
2010-01-26,39.5,37.6,38.0,39.16,9285,NGLNMc1
2010-01-27,41.75,39.9,40.65,40.23,5840,NGLNMc1
2010-01-28,41.75,39.5,39.5,41.22,4360,NGLNMc1
2010-01-29,39.05,38.06,38.06,38.77,2750,NGLNMc1
2010-02-01,36.25,34.75,36.25,35.57,7690,NGLNMc1
2010-02-02,35.75,34.75,35.75,35.53,4515,NGLNMc1
2010-02-03,36.25,34.5,34.5,35.72,5840,NGLNMc1
2010-02-04,36.75,35.74,35.99,36.35,6025,NGLNMc1
2010-02-05,36.85,36.25,36.6,36.79,3925,NGLNMc1
2010-02-08,37.3,36.5,36.9,36.83,4670,NGLNMc1
2010-02-09,36.85,35.25,36.25,35.39,6920,NGLNMc1
2010-02-10,35.4,34.0,34.4,34.19,5245,NGLNMc1
2010-02-11,35.0,34.25,34.25,34.29,4565,NGLNMc1
2010-02-12,34.65,34.0,34.0,34.26,8510,NGLNMc1
2010-02-15,34.6,33.8,34.0,34.18,4220,NGLNMc1
